17:35:08.474 [INF] === Strömling gestartet "2026-05-25 17:35:08" ===
17:35:08.610 [INF] Launcher-DB geöffnet: "/home/stephan/.local/share/stroemling/Strömling Design/stroemling.db"
17:35:08.611 [INF] Wiki-Datenbank geöffnet: "/home/stephan/.local/share/stroemling/Strömling Design/wiki.db"
17:35:08.611 [INF] Wiki-Schema bereits auf Version 10 – keine Änderung.
17:35:08.614 [INF] Hauptdatenbank auf Schema-Version 48
17:35:08.617 [INF] Projekt geöffnet: "/home/stephan/Programmierung/Stroemling_Projekt/sd.stroemling"
17:35:08.622 [INF] Projekte geladen: 3
17:35:10.542 [WRN] qrc:/qt/qml/stroemling/qml/KlemmePlatzierDialog.qml:156:5: QML DebugLabel: Detected anchors on an item that is managed by a layout. This is undefined behavior; use Layout.alignment instead.
17:35:10.859 [WRN] qrc:/qt/qml/stroemling/qml/KommandoPalette.qml:219:5: QML DebugLabel: Detected anchors on an item that is managed by a layout. This is undefined behavior; use Layout.alignment instead.
17:35:10.862 [WRN] qrc:/qt/qml/stroemling/qml/PdfExportDialog.qml:226:5: QML DebugLabel: Detected anchors on an item that is managed by a layout. This is undefined behavior; use Layout.alignment instead.
17:35:10.930 [WRN] qrc:/qt/qml/stroemling/qml/ep/EpVerbindungSection.qml:152: TypeError: Cannot read property 'textSecondary' of undefined
17:35:10.930 [WRN] qrc:/qt/qml/stroemling/qml/components/ColorPalette.qml:38: TypeError: Cannot read property 'borderDark' of undefined
17:35:10.930 [WRN] qrc:/qt/qml/stroemling/qml/components/ColorPalette.qml:38: TypeError: Cannot read property 'borderDark' of undefined
17:35:10.930 [WRN] qrc:/qt/qml/stroemling/qml/components/ColorPalette.qml:38: TypeError: Cannot read property 'borderDark' of undefined
17:35:10.930 [WRN] qrc:/qt/qml/stroemling/qml/components/ColorPalette.qml:38: TypeError: Cannot read property 'borderDark' of undefined
17:35:10.930 [WRN] qrc:/qt/qml/stroemling/qml/components/ColorPalette.qml:38: TypeError: Cannot read property 'borderDark' of undefined
17:35:10.930 [WRN] qrc:/qt/qml/stroemling/qml/components/ColorPalette.qml:38: TypeError: Cannot read property 'borderDark' of undefined
17:35:10.930 [WRN] qrc:/qt/qml/stroemling/qml/components/ColorPalette.qml:38: TypeError: Cannot read property 'borderDark' of undefined
17:35:10.930 [WRN] qrc:/qt/qml/stroemling/qml/components/ColorPalette.qml:38: TypeError: Cannot read property 'borderDark' of undefined
17:35:10.930 [WRN] qrc:/qt/qml/stroemling/qml/components/ColorPalette.qml:38: TypeError: Cannot read property 'borderDark' of undefined
17:35:10.930 [WRN] qrc:/qt/qml/stroemling/qml/components/ColorPalette.qml:38: TypeError: Cannot read property 'borderDark' of undefined
17:35:10.930 [WRN] qrc:/qt/qml/stroemling/qml/components/ColorPalette.qml:38: TypeError: Cannot read property 'borderDark' of undefined
17:35:10.930 [WRN] qrc:/qt/qml/stroemling/qml/components/ColorPalette.qml:38: TypeError: Cannot read property 'borderDark' of undefined
17:35:10.930 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:18: TypeError: Cannot read property 'inputBg' of undefined
17:35:10.930 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:26: TypeError: Cannot read property 'textMuted' of undefined
17:35:10.930 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:19: TypeError: Cannot read property 'border' of undefined
17:35:10.930 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:18: TypeError: Cannot read property 'inputBg' of undefined
17:35:10.930 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:26: TypeError: Cannot read property 'textMuted' of undefined
17:35:10.930 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:19: TypeError: Cannot read property 'border' of undefined
17:35:10.930 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:18: TypeError: Cannot read property 'inputBg' of undefined
17:35:10.930 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:26: TypeError: Cannot read property 'textMuted' of undefined
17:35:10.930 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:19: TypeError: Cannot read property 'border' of undefined
17:35:10.930 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:18: TypeError: Cannot read property 'activeItemAlt' of undefined
17:35:10.930 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:26: TypeError: Cannot read property 'accent' of undefined
17:35:10.930 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:19: TypeError: Cannot read property 'accent' of undefined
17:35:10.930 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:18: TypeError: Cannot read property 'inputBg' of undefined
17:35:10.930 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:26: TypeError: Cannot read property 'textMuted' of undefined
17:35:10.930 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:19: TypeError: Cannot read property 'border' of undefined
17:35:10.930 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:18: TypeError: Cannot read property 'inputBg' of undefined
17:35:10.930 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:26: TypeError: Cannot read property 'textMuted' of undefined
17:35:10.930 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:19: TypeError: Cannot read property 'border' of undefined
17:35:10.931 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:18: TypeError: Cannot read property 'inputBg' of undefined
17:35:10.931 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:26: TypeError: Cannot read property 'textMuted' of undefined
17:35:10.931 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:19: TypeError: Cannot read property 'border' of undefined
17:35:10.931 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:18: TypeError: Cannot read property 'inputBg' of undefined
17:35:10.931 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:26: TypeError: Cannot read property 'textMuted' of undefined
17:35:10.931 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:19: TypeError: Cannot read property 'border' of undefined
17:35:10.931 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:18: TypeError: Cannot read property 'activeItemAlt' of undefined
17:35:10.931 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:26: TypeError: Cannot read property 'accent' of undefined
17:35:10.931 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:19: TypeError: Cannot read property 'accent' of undefined
17:35:10.931 [WRN] qrc:/qt/qml/stroemling/qml/components/StilSlider.qml:20: TypeError: Cannot read property 'border' of undefined
17:35:10.931 [WRN] qrc:/qt/qml/stroemling/qml/components/StilSlider.qml:23: TypeError: Cannot read property 'accent' of undefined
17:35:10.931 [WRN] qrc:/qt/qml/stroemling/qml/components/StilSlider.qml:30: TypeError: Cannot read property 'accent' of undefined
17:35:10.931 [WRN] qrc:/qt/qml/stroemling/qml/components/ColorPalette.qml:38: TypeError: Cannot read property 'borderDark' of undefined
17:35:10.931 [WRN] qrc:/qt/qml/stroemling/qml/components/ColorPalette.qml:38: TypeError: Cannot read property 'borderDark' of undefined
17:35:10.931 [WRN] qrc:/qt/qml/stroemling/qml/components/ColorPalette.qml:38: TypeError: Cannot read property 'borderDark' of undefined
17:35:10.931 [WRN] qrc:/qt/qml/stroemling/qml/components/ColorPalette.qml:38: TypeError: Cannot read property 'borderDark' of undefined
17:35:10.931 [WRN] qrc:/qt/qml/stroemling/qml/components/ColorPalette.qml:38: TypeError: Cannot read property 'borderDark' of undefined
17:35:10.931 [WRN] qrc:/qt/qml/stroemling/qml/components/ColorPalette.qml:38: TypeError: Cannot read property 'borderDark' of undefined
17:35:10.931 [WRN] qrc:/qt/qml/stroemling/qml/components/ColorPalette.qml:38: TypeError: Cannot read property 'borderDark' of undefined
17:35:10.931 [WRN] qrc:/qt/qml/stroemling/qml/components/ColorPalette.qml:38: TypeError: Cannot read property 'borderDark' of undefined
17:35:10.931 [WRN] qrc:/qt/qml/stroemling/qml/components/ColorPalette.qml:38: TypeError: Cannot read property 'borderDark' of undefined
17:35:10.931 [WRN] qrc:/qt/qml/stroemling/qml/components/ColorPalette.qml:38: TypeError: Cannot read property 'borderDark' of undefined
17:35:10.931 [WRN] qrc:/qt/qml/stroemling/qml/components/ColorPalette.qml:38: TypeError: Cannot read property 'borderDark' of undefined
17:35:10.931 [WRN] qrc:/qt/qml/stroemling/qml/components/ColorPalette.qml:38: TypeError: Cannot read property 'borderDark' of undefined
17:35:10.931 [WRN] qrc:/qt/qml/stroemling/qml/components/StilSlider.qml:20: TypeError: Cannot read property 'border' of undefined
17:35:10.931 [WRN] qrc:/qt/qml/stroemling/qml/components/StilSlider.qml:23: TypeError: Cannot read property 'accent' of undefined
17:35:10.931 [WRN] qrc:/qt/qml/stroemling/qml/components/StilSlider.qml:30: TypeError: Cannot read property 'accent' of undefined
17:35:10.931 [WRN] qrc:/qt/qml/stroemling/qml/components/StilSlider.qml:20: TypeError: Cannot read property 'border' of undefined
17:35:10.931 [WRN] qrc:/qt/qml/stroemling/qml/components/StilSlider.qml:23: TypeError: Cannot read property 'accent' of undefined
17:35:10.931 [WRN] qrc:/qt/qml/stroemling/qml/components/StilSlider.qml:30: TypeError: Cannot read property 'accent' of undefined
17:35:10.931 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:18: TypeError: Cannot read property 'inputBg' of undefined
17:35:10.931 [WRN] qrc:/qt/qml/stroemling/qml/components/MiniButton.qml:26: TypeError: Cannot read property 'textMuted' of undefined
